number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.9574573746068532,2026-04-09 00:47:53.905501,2026-04-09 00:47:56.161655,0 days 00:00:02.256154,0.9012483786345593,0.06836837555860031,98,294,40,2.454868827223548,5.001407631412245,0.8835610454196368,COMPLETE
1,0.971167197582292,2026-04-09 00:47:53.928200,2026-04-09 00:47:56.735877,0 days 00:00:02.807677,0.7167867676157564,0.07433678124643449,21,495,55,4.5266148775342545,7.391661801976083,0.9438917744839472,COMPLETE
2,0.9576299238662693,2026-04-09 00:47:56.163163,2026-04-09 00:47:57.997341,0 days 00:00:01.834178,0.9209484828818689,0.09998703951576798,85,307,55,2.5570422977062535,4.5759282104317505,0.8791772585555516,COMPLETE
3,0.9688932547478717,2026-04-09 00:47:56.740736,2026-04-09 00:48:00.252378,0 days 00:00:03.511642,0.7437389777203296,0.060193331275400684,52,456,43,0.5574746006395102,5.692265736557827,0.9448563296069457,COMPLETE
4,0.9649958915365653,2026-04-09 00:47:58.004598,2026-04-09 00:48:00.339806,0 days 00:00:02.335208,0.739177856952467,0.09741192749823928,33,413,33,1.3617492267417646,1.120782857922536,0.8121126770610877,COMPLETE
5,0.9644853666557055,2026-04-09 00:48:00.254483,2026-04-09 00:48:03.079489,0 days 00:00:02.825006,0.877871656310506,0.07711701024050881,98,492,63,2.3029110284503043,3.540103197949837,0.8891716340262358,COMPLETE
6,0.9588361712679782,2026-04-09 00:48:00.343335,2026-04-09 00:48:02.645646,0 days 00:00:02.302311,0.9784991719989335,0.06000366235586067,55,348,63,2.6121620589980283,0.24487664435677622,0.9743334713102917,COMPLETE
7,0.9615828524319868,2026-04-09 00:48:02.645646,2026-04-09 00:48:04.444493,0 days 00:00:01.798847,0.8929602017163282,0.07600001323153899,80,233,53,1.1263840203614235,4.489593559170483,0.8124426132863865,COMPLETE
8,0.9703261669255293,2026-04-09 00:48:03.081496,2026-04-09 00:48:05.369727,0 days 00:00:02.288231,0.7468296241182095,0.07289005181926597,16,417,39,9.045239361221896,9.76775319184233,0.9649095535164726,COMPLETE
9,0.9639743378845204,2026-04-09 00:48:04.448553,2026-04-09 00:48:06.544687,0 days 00:00:02.096134,0.8403032351115373,0.06868240808901091,99,310,38,3.172962192123045,7.479827288276815,0.9150778475919672,COMPLETE
10,0.9649108390171748,2026-04-09 00:48:05.373242,2026-04-09 00:48:07.176811,0 days 00:00:01.803569,0.8049656439678723,0.07080521292822162,79,285,52,9.635183014173668,4.864486600607133,0.9972602576624914,COMPLETE
11,0.9691464113266225,2026-04-09 00:48:06.544687,2026-04-09 00:48:09.266846,0 days 00:00:02.722159,0.8076673702139563,0.08620120830696071,10,493,53,6.446611601236405,9.099715672870964,0.927521948100926,COMPLETE
12,0.9721746226030191,2026-04-09 00:48:07.178818,2026-04-09 00:48:09.633468,0 days 00:00:02.454650,0.7175253141755904,0.08373734965597682,11,415,48,6.641725614055467,9.84580474101497,0.9457934165628852,COMPLETE
13,0.9713352388730094,2026-04-09 00:48:09.273359,2026-04-09 00:48:12.169909,0 days 00:00:02.896550,0.7012915050883746,0.050578785260364224,11,412,47,6.379881675359534,9.721689032225331,0.9633513602933503,COMPLETE
14,0.9713352388730094,2026-04-09 00:48:09.641306,2026-04-09 00:48:11.887953,0 days 00:00:02.246647,0.7003573678231692,0.08608045662412754,27,410,47,5.75528033875559,7.674603598535997,0.940490426877183,COMPLETE
15,0.9693151133295148,2026-04-09 00:48:11.887953,2026-04-09 00:48:14.036341,0 days 00:00:02.148388,0.7054892047938757,0.08926285718382006,33,389,47,6.771313123668233,8.086230042713908,0.8508118597971079,COMPLETE
16,0.9656758088356052,2026-04-09 00:48:12.173502,2026-04-09 00:48:14.597328,0 days 00:00:02.423826,0.7794389431554684,0.05211729695340863,47,361,48,7.604908342861642,8.797654828744967,0.8521756808962201,COMPLETE
17,0.9650809300796976,2026-04-09 00:48:14.037689,2026-04-09 00:48:16.321128,0 days 00:00:02.283439,0.7882506957885316,0.05205494487809108,44,358,44,7.864252152863328,9.721294693414983,0.9994703249915707,COMPLETE
18,0.9688088415882112,2026-04-09 00:48:14.600406,2026-04-09 00:48:17.509465,0 days 00:00:02.909059,0.7726562542318723,0.050428839333690974,43,456,43,4.446725732747975,9.895284534177353,0.9975689235066179,COMPLETE
19,0.966524450278963,2026-04-09 00:48:16.323541,2026-04-09 00:48:18.669402,0 days 00:00:02.345861,0.7680492995417452,0.08063315045135672,67,436,58,4.6446130424128285,6.685435823724264,0.9692664453405128,COMPLETE
